what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.gmf.runtime.emf.type.core,1.2.0.v20090403-1720,"org.eclipse.gmf.runtime.emf.type.core",1397199329488
stopped,bundle,org.eclipse.gmf.runtime.emf.commands.core,1.2.0.v20090403-1720,"org.eclipse.gmf.runtime.emf.commands.core",1397199329488
stopped,bundle,org.eclipse.gmf.runtime.emf.core,1.2.2.v20091126-1420,"org.eclipse.gmf.runtime.emf.core",1397199329488
stopped,bundle,org.eclipse.gmf.runtime.notation.edit,1.2.0.v20091021-2333,"org.eclipse.gmf.runtime.notation.edit",1397199329488
stopped,bundle,org.eclipse.emf.ecore.edit,2.5.0.v200906151043,"org.eclipse.emf.ecore.edit",1397199329488
stopped,bundle,org.eclipse.xsd.edit,2.5.0.v200906151043,"org.eclipse.xsd.edit",1397199329488
stopped,bundle,org.eclipse.emf.databinding.edit,1.1.0.v200906151043,"org.eclipse.emf.databinding.edit",1397199329488
stopped,bundle,org.eclipse.emf.mapping,2.5.0.v200906151043,"org.eclipse.emf.mapping",1397199329488
stopped,bundle,org.eclipse.emf.workspace,1.3.0.v200902100422,"org.eclipse.emf.workspace",1397199329488
stopped,bundle,org.eclipse.emf.transaction,1.3.0.v200902010221,"org.eclipse.emf.transaction",1397199329488
stopped,bundle,org.eclipse.emf.validation,1.3.0.v200901271722,"org.eclipse.emf.validation",1397199329488
stopped,bundle,org.eclipse.emf.compare.diff,1.0.1.v200909161031,"org.eclipse.emf.compare.diff",1397199329488
stopped,bundle,org.eclipse.emf.compare.match,1.0.1.v200909161031,"org.eclipse.emf.compare.match",1397199329488
stopped,bundle,org.eclipse.emf.compare,1.0.1.v200909161031,"org.eclipse.emf.compare",1397199329488
stopped,bundle,org.eclipse.emf.mint,0.8.0.v200906161513,"org.eclipse.emf.mint",1397199329488
stopped,bundle,org.eclipse.wst.web,1.1.301.v200911302230,"org.eclipse.wst.web",1397199329488
stopped,bundle,org.eclipse.wst.common.modulecore,1.1.301.v201001252130,"org.eclipse.wst.common.modulecore",1397199329488
stopped,bundle,org.eclipse.wst.common.emfworkbench.integration,1.1.301.v200908101600,"org.eclipse.wst.common.emfworkbench.integration",1397199329488
stopped,bundle,org.eclipse.gmf.runtime.emf.clipboard.core,1.3.0.v20100113-1121,"org.eclipse.gmf.runtime.emf.clipboard.core",1397199329488
stopped,bundle,org.eclipse.emf.edit,2.5.0.v200906151043,"org.eclipse.emf.edit",1397199329488
stopped,bundle,org.eclipse.datatools.connectivity.sqm.core,1.1.1.v201001180200,"org.eclipse.datatools.connectivity.sqm.core",1397199329488
stopped,bundle,org.eclipse.emf.ecore.change,2.5.0.v200906151043,"org.eclipse.emf.ecore.change",1397199329488
stopped,bundle,org.eclipse.uml2.codegen.ecore,1.5.0.v200905151700,"org.eclipse.uml2.codegen.ecore",1397199329488
stopped,bundle,org.eclipse.emf.codegen.ecore,2.5.0.v200906151043,"org.eclipse.emf.codegen.ecore",1397199329488
stopped,bundle,org.eclipse.ocl.uml,2.0.0.v200905271400,"org.eclipse.ocl.uml",1397199329488
stopped,bundle,org.eclipse.uml2.diagram.sequence.model,0.9.0.v200906190654,"org.eclipse.uml2.diagram.sequence.model",1397199329488
stopped,bundle,org.eclipse.uml2.uml,3.0.1.v200908281330,"org.eclipse.uml2.uml",1397199329488
stopped,bundle,org.eclipse.emf.mapping.ecore2xml,2.5.0.v200906151043,"org.eclipse.emf.mapping.ecore2xml",1397199329488
stopped,bundle,org.eclipse.m2m.qvt.oml.ecore.imperativeocl,1.0.0.v20090515-1840,"org.eclipse.m2m.qvt.oml.ecore.imperativeocl",1397199329489
stopped,bundle,org.eclipse.emf.query.ocl,1.2.0.v200903190031,"org.eclipse.emf.query.ocl",1397199329489
stopped,bundle,org.eclipse.emf.ocl,1.1.101.v200901271800,"org.eclipse.emf.ocl",1397199329489
stopped,bundle,org.eclipse.m2m.qvt.oml.cst.parser,2.0.0.v20090526-1940,"org.eclipse.m2m.qvt.oml.cst.parser",1397199329489
stopped,bundle,org.eclipse.acceleo.model,0.8.1.v200909161003,"org.eclipse.acceleo.model",1397199329489
stopped,bundle,org.eclipse.m2m.qvt.oml.emf.util,2.0.1.v20090722-1630,"org.eclipse.m2m.qvt.oml.emf.util",1397199329489
stopped,bundle,org.eclipse.ocl.ecore,1.3.0.v200905271400,"org.eclipse.ocl.ecore",1397199329489
stopped,bundle,org.eclipse.ocl,1.3.0.v200905271400,"org.eclipse.ocl",1397199329489
stopped,bundle,org.eclipse.emf.teneo.orm,1.0.0.v200909151729,"org.eclipse.emf.teneo.orm",1397199329489
stopped,bundle,org.eclipse.emf.teneo,1.1.1.v200909151729,"org.eclipse.emf.teneo",1397199329489
stopped,bundle,org.eclipse.emf.teneo.annotations,1.1.0.v200909151729,"org.eclipse.emf.teneo.annotations",1397199329489
stopped,bundle,org.eclipse.wst.common.emf,1.1.301.v200908181930,"org.eclipse.wst.common.emf",1397199329489
stopped,bundle,org.eclipse.dltk.console,1.0.0.v20090610-1638,"org.eclipse.dltk.console",1397199329489
stopped,bundle,org.eclipse.dltk.debug,1.0.0.v20090613-1432,"org.eclipse.dltk.debug",1397199329489
stopped,bundle,org.eclipse.dltk.validators.core,1.0.0.v20090610-1638,"org.eclipse.dltk.validators.core",1397199329489
stopped,bundle,org.eclipse.dltk.core,1.0.2.v20100209-1928,"org.eclipse.dltk.core",1397199329990
stopped,bundle,org.eclipse.wst.validation,1.2.104.v200911120201,"org.eclipse.wst.validation",1397199329990
stopped,bundle,org.eclipse.wst.common.frameworks,1.1.300.v200904160730,"org.eclipse.wst.common.frameworks",1397199329990
stopped,bundle,org.eclipse.jem.util,2.0.201.v201001252130,"org.eclipse.jem.util",1397199329990
stopped,bundle,org.eclipse.m2m.atl.adt,3.0.2.v201001190421,"org.eclipse.m2m.atl.adt",1397199329990
stopped,bundle,org.eclipse.m2m.atl.engine,3.0.2.v201001190421,"org.eclipse.m2m.atl.engine",1397199329990
stopped,bundle,org.eclipse.m2m.atl.dsls,3.0.2.v201001190421,"org.eclipse.m2m.atl.dsls",1397199329990
stopped,bundle,org.eclipse.m2m.atl.engine.emfvm,3.0.2.v201001190421,"org.eclipse.m2m.atl.engine.emfvm",1397199329990
